Date,ChatGPT,Perplexity,Google Gemini,Microsoft Copilot,Claude,Deepseek,Other
2025-04,84.21,12.07,2.31,0.23,0.3,0.88,0
2025-05,79.79,11.83,1.95,5.18,0.46,0.8,0
2025-06,79.86,11,2.19,4.83,1.11,1.02,0
2025-07,82.65,8.03,2.19,4.59,0.91,1.63,0
2025-08,80.92,8.12,2.19,5.17,0.89,2.7,0
2025-09,81.12,10.85,2.82,4.04,0.99,0.18,0
2025-10,81.35,11.13,3.02,3.47,1.02,0.01,0
2025-11,81.84,11.06,2.97,3.06,1.06,0.01,0
2025-12,79.74,10.83,4.74,3.6,1.07,0.02,0
2026-01,80.51,7.87,7.2,3.5,0.92,0.01,0
2026-02,79.98,7.88,7.5,3.26,1.37,0.01,0
2026-03,78.16,7.07,8.65,3.19,2.91,0.02,0
2025-03,0,0,0,0,0,0,0
